Symbol,CoinName
NETC,NetworkCoin
VPRC,VapersCoin
GAP,Gapcoin
SERO,Super Zero
UOS,UOS
BDX,Beldex
ZEN,Horizen
XBC,BitcoinPlus
DVTC,DivotyCoin
GIOT,Giotto Coin
OPSC,OpenSourceCoin
PUNK,SteamPunk
